Player Player 180 730 0 0
SideWalk SideWalk 1571 465 13 12
SideWalk SideWalk 1431 435 10 85
SideWalk SideWalk 1427 464 35 26
SideWalk SideWalk 1455 452 24 24
SideWalk SideWalk 1482 443 17 15
SideWalk SideWalk 1421 173 21 48
SideWalk SideWalk 1609 933 27 371
SideWalk SideWalk 1406 761 291 114
SideWalk SideWalk 1325 963 10 89
SideWalk SideWalk 1314 925 33 8
SideWalk SideWalk 1290 1343 14 693
SideWalk SideWalk 1766 1429 242 10
SideWalk SideWalk 1780 1667 10 201
SideWalk SideWalk 1290 1514 54 271
SideWalk SideWalk 1050 1347 253 126
SideWalk SideWalk 1125 1792 62 153
SideWalk SideWalk 1197 1749 35 15
SideWalk SideWalk 437 1846 9 685
SideWalk SideWalk 706 1710 13 448
SideWalk SideWalk 695 1633 70 10
SideWalk SideWalk 713 1628 10 46
SideWalk SideWalk 202 1579 6 545
SideWalk SideWalk 436 1673 173 11
SideWalk SideWalk 201 1592 78 9
SideWalk SideWalk 213 1665 10 230
SideWalk SideWalk 306 1759 94 42
SideWalk SideWalk -1 1841 17 303
SideWalk SideWalk 56 1547 12 63
SideWalk SideWalk 103 1493 50 14
SideWalk SideWalk 120 1488 6 854 
SideWalk SideWalk 1267 919 316 16
SideWalk SideWalk 1288 1225 11 60
SideWalk SideWalk 1147 765 466 39
SideWalk SideWalk 569 1219 15 505
SideWalk SideWalk 570 1134 80 11
SideWalk SideWalk 587 1137 19 403
SideWalk SideWalk 992 1075 47 16
SideWalk SideWalk 1055 866 199 10
SideWalk SideWalk 997 1065 6 61
SideWalk SideWalk 785 868 142 4
SideWalk SideWalk 789 1013 6 71
SideWalk SideWalk 671 1079 3 194
SideWalk SideWalk 672 918 152 2
SideWalk SideWalk 398 918 8 265
SideWalk SideWalk 569 763 14 574
SideWalk SideWalk 480 841 15 25
SideWalk SideWalk 400 907 16 19
SideWalk SideWalk 545 779 19 23
SideWalk SideWalk 522 804 21 19
SideWalk SideWalk 496 827 12 29
SideWalk SideWalk 2 763 5 460
SideWalk SideWalk 1 911 8 83
SideWalk SideWalk 377 805 17 25
SideWalk SideWalk 397 785 13 21
SideWalk SideWalk 419 770 16 20
SideWalk SideWalk -3 1024 17 114
SideWalk SideWalk 4 1221 14 468
SideWalk SideWalk 192 1192 10 280
SideWalk SideWalk 375 490 145 25
SideWalk SideWalk 357 440 43 53
SideWalk SideWalk 415 416 15 17
SideWalk SideWalk 437 379 33 38
SideWalk SideWalk 457 347 25 24
SideWalk SideWalk 474 318 20 16
SideWalk SideWalk 689 423 231 27
SideWalk SideWalk 797 539 116 31
SideWalk SideWalk 836 640 12 595
SideWalk SideWalk 950 460 14 83
SideWalk SideWalk 1032 297 142 34
SideWalk SideWalk 1001 324 5 25
SideWalk SideWalk 1034 289 4 26
SideWalk SideWalk 3 1345 32 1043
Ground Ground 1984 0 1983 8
Ground Ground -7 3 1977 6
Ground Ground -5 -4 6 2001

ParkedVehicle ParkedVehicle 251 12 24 55
ParkedVehicle OrangeCar 339 13 22 57
ParkedVehicle LightBlueCar 342 231 28 56
ParkedVehicle WhitCar 339 276 25 52
ParkedVehicle OpenRedCar 891 210 55 30
ParkedVehicle GreenCar 729 208 53 27 
ParkedVehicle BlackCar 777 208 54 27
ParkedVehicle ParkedVehicle 1299 113 57 30
ParkedVehicle OrangeCar 1386 111 53 26
ParkedVehicle GreenCar 952 366 29 69
ParkedVehicle LightBlueCar 289 1043 59 28
ParkedVehicle BlackCar 344 1046 54 30
ParkedVehicle OpenRedCar 526 1044 53 36
ParkedVehicle WhitCar 869 977 29 56
ParkedVehicle BlackCar 1005 877 29 44
ParkedVehicle GreenCar 1003 983 20 39
ParkedVehicle OrangeCar 873 1025 26 54
ParkedVehicle LightBlueCar 870 931 32 62
ParkedVehicle OrangeCar 1001 1028 30 47
ParkedVehicle WhitCar 1881 780 60 28 
ParkedVehicle LightBlueCar 1758 782 64 28
ParkedVehicle ParkedVehicle 1706 782 57 27
ParkedVehicle OrangeCar 59 1566 29 52
ParkedVehicle BlackCar 61 1663 29 52
ParkedVehicle LightBlueCar 60 1719 34 42
ParkedVehicle OpenRedCar 899 1503 26 63
ParkedVehicle WhitCar 899 1557 30 58
ParkedVehicle OrangeCar 1536 1600 62 40
ParkedVehicle ParkedVehicle 1396 1593 68 33
ParkedVehicle OpenRedCar 1342 1595 64 33

Coin Coin 121 137 25 20
Coin Coin 1067 130 25 20  
Coin Coin 1359 119 25 20
Coin Coin 1957 793 25 20
Coin Coin 1838 792 25 20
Coin Coin 980 409 25 20
Coin Coin 24 1863 25 20
Coin Coin 1946 1912 25 20
Coin Coin 1484 1615 25 20
Coin Coin 78 1606 25 20
Coin Coin 828 944 25 20
Coin Coin 1027 969 25 20
Coin Coin 537 1057 25 20
Coin Coin 419 1061 25 20
Coin Coin 1368 910 25 20
Coin Coin  737 1663 25 20

CrossSection CrossWalk 721 609 48 68
CrossSection CrossWalk 1742 622 41 58
CrossSection CrossWalk 1829 327 104 56
CrossSection CrossWalk 1436 619 40 73
CrossSection CrossWalk 467 764 29 62
CrossSection CrossWalk 1194 767 59 99
CrossSection CrossWalk 1301 767 60 97
CrossSection CrossWalk 327 885 40 63
CrossSection CrossWalk 484 1194 38 80
CrossSection CrossWalk 745 1080 51 52
CrossSection CrossWalk 1187 1179 52 82
CrossSection CrossWalk 1183 1347 74 103
CrossSection CrossWalk 1078 1604 107 76         
CrossSection CrossWalk 1357 1793 62 108
CrossSection CrossWalk 451 1493 83 79
CrossSection CrossWalk 351 1796 56 81

StraightArrow StraightArrow 207 238 40 40
StraightArrow StraightArrow 743 497 40 40
StraightArrow StraightArrow 1534 270 40 40
StraightArrow StraightArrow 949 1046 40 40
StraightArrow StraightArrow 843 1568 40 40


StraightArrow RightArrow 221 65 40 40
StraightArrow RightArrow 368 64 40 40
StraightArrow RightArrow 428 679 40 40
StraightArrow RightArrow 675 676 40 40
StraightArrow RightArrow 802 346 40 40
StraightArrow RightArrow 1700 223 40 40
StraightArrow RightArrow 1158 366 40 40
StraightArrow RightArrow 1641 371 40 40
StraightArrow RightArrow 1648 884 40 40
StraightArrow RightArrow 1829 886 40 40
StraightArrow RightArrow 449 963 40 40
StraightArrow RightArrow 634 1096 40 40
StraightArrow RightArrow 272 1146 40 40
StraightArrow RightArrow 572 1305 40 40
StraightArrow RightArrow 862 1304 40 40
StraightArrow RightArrow 1386 1308 40 40
StraightArrow RightArrow 1690 1303 40 40
StraightArrow RightArrow 1400 1454 40 40
StraightArrow RightArrow 1570 1456 40 40
StraightArrow RightArrow 209 1710 40 40
StraightArrow RightArrow 437 1937 40 40
StraightArrow RightArrow 818 1941 40 40
StraightArrow RightArrow 1255 1937 40 40
StraightArrow RightArrow 1583 1933 40 40

StraightArrow  DownArrow 435 229 40 40
StraightArrow  DownArrow 307 421 40 40
StraightArrow  DownArrow 340 556 40 40
StraightArrow  DownArrow 1102 281 40 40
StraightArrow  DownArrow 1460 533 40 40
StraightArrow  DownArrow 1913 457 40 40
StraightArrow  DownArrow 1638 777 40 40
StraightArrow  DownArrow 1214 881 40 40
StraightArrow  DownArrow 1216 1094 40 40
StraightArrow  DownArrow 607 1037 40 40
StraightArrow  DownArrow 223 1052 40 40
StraightArrow  DownArrow 1221 1435 40 40
StraightArrow  DownArrow 1693 1521 40 40
StraightArrow  DownArrow 150 1595 40 40
StraightArrow  DownArrow 383 1718 40 40

StraightArrow LeftArrow 1581 132 40 40
StraightArrow LeftArrow 1373 219 40 40
StraightArrow LeftArrow 1674 681 40 40
StraightArrow LeftArrow 1355 679 40 40
StraightArrow LeftArrow 888 886 40 40
StraightArrow LeftArrow 264 1526 40 40
StraightArrow LeftArrow 578 1520 40 40
StraightArrow LeftArrow 1353 1691 40 40
StraightArrow LeftArrow 1403 1875 40 40
StraightArrow LeftArrow 1049 1878 40 40
StraightArrow LeftArrow 150 1874 40 40

Pedestrian Pedestrian 708 602 20 20
Pedestrian Pedestrian 850 596 20 20
Pedestrian Pedestrian 1405 630 20 20
Pedestrian Pedestrian 1511 638 20 20
Pedestrian Pedestrian 1859 276 20 20
Pedestrian Pedestrian 1869 453 20 20
Pedestrian Pedestrian 1426 784 20 20
Pedestrian Pedestrian 1176 776 20 20
Pedestrian Pedestrian 1300 1195 20 20
Pedestrian Pedestrian 1162 1198 20 20
Pedestrian Pedestrian 448 1212 20 20
Pedestrian Pedestrian 596 1208 20 20
Pedestrian Pedestrian 309 920 20 20
Pedestrian Pedestrian 452 784 20 20

SideWalk SideWalk 1977 713 42 7
SideWalk SideWalk 1 660 50 6
SideWalk SideWalk 1979 1292 49 6
SideWalk SideWalk - 2 1238 46 8
SideWalk SideWalk -1 1863 45 7
SideWalk SideWalk 1972 1919 50 9

MovingVehicle BlackCar 1891 1891 36 80
MovingVehicle BlackCar 15 1919 39 71
MovingVehicle PurpleCar 16 1297 33 68
MovingVehicle BlackCar 11 720 35 75
MovingVehicle BlackCar 1894 675 30 71
MovingVehicle WhitCar 1898 1245 35 71
MovingVehicle GreenCar 1891 1891 36 80
MovingVehicle BlackCar 15 1919 39 71
MovingVehicle BlackCar 16 1297 33 68
MovingVehicle OpenRedCar 11 720 35 75
MovingVehicle BlackCar 1894 675 30 71
MovingVehicle OrangeCar 1898 1245 35 71
